u,i,label,ts
7188,1,10,97
430,1,10,72
3134,1,10,66
3026,1,10,50
3010,1,10,48
804,1,10,40
160,1,10,87
95,1,9,78
377,1,7,103
888,1,7,63
89,1,7,51
1901,1,6,101
161,1,6,102
256,1,6,44
351,1,5,105
3329,1,5,83
3341,1,5,82
649,1,5,78
1583,1,5,75
87,1,5,76
37,1,5,70
309,1,5,73
821,1,5,65
1496,1,5,86
637,1,5,62
964,1,5,50
594,1,5,67
2249,1,5,58
554,1,5,47
20,1,5,44
2227,1,5,53
1315,1,5,37
519,1,5,45
1316,1,5,35
2149,1,5,31
1724,1,5,27
18,1,5,21
57,1,5,20
118,1,4,103
3254,1,4,69
1177,1,4,67
112,1,4,55
11,1,4,71
586,1,4,21
35,1,4,34
15,1,4,25
1445,1,4,17
152,1,4,53
2,1,4,101
113,1,4,18
44,1,3,104
2401,1,3,83
10,1,3,71
2378,1,3,74
126,1,3,70
3245,1,3,66
783,1,3,65
493,1,3,60
1358,1,3,69
1180,1,3,73
529,1,3,59
333,1,3,56
1538,1,3,57
2282,1,3,53
1519,1,3,61
2966,1,3,43
474,1,3,47
330,1,3,76
958,1,3,61
17,1,3,34
1295,1,3,33
38,1,3,53
1952,1,3,13
223,1,3,12
625,1,2,3
1392,1,2,106
3355,1,2,104
1881,1,2,95
58,1,2,102
96,1,2,100
1580,1,2,85
196,1,2,84
146,1,2,84
416,1,2,84
1198,1,2,83
3319,1,2,81
1867,1,2,88
896,1,2,78
617,1,2,78
3300,1,2,75
1877,1,2,73
462,1,2,73
3279,1,2,71
454,1,2,81
1860,1,2,67
121,1,2,67
151,1,2,72
1570,1,2,69
1573,1,2,99
1063,1,2,63
1353,1,2,93
459,1,2,69
2334,1,2,61
1267,1,2,61
1060,1,2,60
1061,1,2,59
7431,1,2,60
1355,1,2,72
71,1,2,54
3070,1,2,53
2113,1,2,52
3001,1,2,52
396,1,2,52
2260,1,2,50
142,1,2,63
2238,1,2,45
123,1,2,45
2942,1,2,48
1509,1,2,42
7410,1,2,40
1760,1,2,38
2876,1,2,36
259,1,2,89
1493,1,2,36
2845,1,2,33
370,1,2,33
2844,1,2,32
2167,1,2,31
156,1,2,30
2808,1,2,28
255,1,2,28
736,1,2,29
7603,1,2,26
346,1,2,37
9,1,2,33
75,1,2,26
175,1,2,24
2754,1,2,23
22,1,2,26
155,1,2,18
1261,1,2,16
2552,1,2,15
2586,1,2,15
710,1,2,21
578,1,2,15
472,1,2,14
2472,1,2,12
1606,1,2,10
4,1,2,8
563,1,2,19
744,1,1,4
3422,1,1,108
250,1,1,106
249,1,1,106
2427,1,1,105
3414,1,1,105
1590,1,1,103
2305,1,1,101
1900,1,1,101
3392,1,1,97
1065,1,1,96
1147,1,1,93
1072,1,1,93
3375,1,1,91
1024,1,1,89
709,1,1,88
1382,1,1,85
3332,1,1,80
1885,1,1,79
3330,1,1,79
1197,1,1,79
3316,1,1,79
1886,1,1,79
154,1,1,79
1522,1,1,75
2391,1,1,74
3298,1,1,73
432,1,1,73
3292,1,1,73
3290,1,1,73
7597,1,1,71
3274,1,1,71
1875,1,1,71
291,1,1,70
158,1,1,70
1579,1,1,70
1846,1,1,68
1066,1,1,68
290,1,1,66
3233,1,1,66
891,1,1,65
247,1,1,69
1856,1,1,64
3211,1,1,64
115,1,1,64
1365,1,1,64
483,1,1,64
3210,1,1,63
3189,1,1,63
3193,1,1,63
2352,1,1,63
1847,1,1,63
3173,1,1,63
1051,1,1,62
1843,1,1,62
2342,1,1,62
7341,1,1,62
3139,1,1,62
1186,1,1,62
3167,1,1,62
3149,1,1,62
1842,1,1,62
3156,1,1,61
3141,1,1,61
817,1,1,61
1840,1,1,61
1839,1,1,61
2324,1,1,60
3143,1,1,60
3142,1,1,60
174,1,1,59
2315,1,1,59
1356,1,1,58
1835,1,1,58
296,1,1,58
3118,1,1,63
1542,1,1,58
3111,1,1,57
753,1,1,57
3088,1,1,55
395,1,1,55
3068,1,1,54
3042,1,1,54
1442,1,1,54
1339,1,1,55
596,1,1,54
2281,1,1,53
222,1,1,53
194,1,1,53
3064,1,1,53
1812,1,1,53
1796,1,1,53
701,1,1,53
124,1,1,52
3057,1,1,52
7427,1,1,52
2276,1,1,52
2271,1,1,51
1525,1,1,50
2235,1,1,50
3027,1,1,50
2090,1,1,50
1342,1,1,50
331,1,1,50
3023,1,1,50
2261,1,1,50
68,1,1,50
116,1,1,50
1043,1,1,50
3020,1,1,49
491,1,1,49
179,1,1,49
2252,1,1,49
214,1,1,48
439,1,1,48
2147,1,1,48
1167,1,1,48
697,1,1,48
67,1,1,48
1793,1,1,47
258,1,1,47
1340,1,1,47
2996,1,1,47
1520,1,1,46
1336,1,1,46
30,1,1,46
178,1,1,48
747,1,1,44
2962,1,1,43
2952,1,1,42
455,1,1,42
260,1,1,41
623,1,1,41
29,1,1,41
1510,1,1,40
2927,1,1,40
301,1,1,39
2907,1,1,38
2909,1,1,38
1148,1,1,38
955,1,1,38
1502,1,1,38
2853,1,1,37
1500,1,1,37
2178,1,1,37
1320,1,1,37
874,1,1,37
2177,1,1,37
2892,1,1,37
636,1,1,62
1034,1,1,37
1494,1,1,36
276,1,1,36
1318,1,1,36
117,1,1,36
1492,1,1,35
1302,1,1,35
1313,1,1,35
1491,1,1,35
2870,1,1,35
2181,1,1,35
1309,1,1,34
1750,1,1,34
2848,1,1,33
1458,1,1,33
951,1,1,33
1029,1,1,33
2176,1,1,33
2846,1,1,33
347,1,1,33
2173,1,1,32
2826,1,1,31
1742,1,1,42
2166,1,1,31
2823,1,1,30
2820,1,1,30
2814,1,1,29
1736,1,1,29
1025,1,1,29
1482,1,1,29
1483,1,1,29
2152,1,1,52
2806,1,1,28
1128,1,1,27
2801,1,1,27
2795,1,1,27
1290,1,1,27
1288,1,1,27
1436,1,1,26
2498,1,1,26
2784,1,1,26
587,1,1,26
2780,1,1,25
2779,1,1,25
305,1,1,25
944,1,1,25
2129,1,1,25
683,1,1,25
42,1,1,24
1136,1,1,24
1283,1,1,24
2127,1,1,23
2093,1,1,22
1284,1,1,22
72,1,1,22
264,1,1,22
2756,1,1,22
1285,1,1,22
613,1,1,22
304,1,1,22
1282,1,1,22
4721,1,1,22
1475,1,1,21
2746,1,1,21
1715,1,1,21
734,1,1,20
2108,1,1,20
1923,1,1,20
1465,1,1,20
2742,1,1,20
2117,1,1,20
1720,1,1,20
90,1,1,20
2731,1,1,19
1457,1,1,19
2725,1,1,19
2109,1,1,18
543,1,1,19
2102,1,1,18
712,1,1,17
231,1,1,18
2687,1,1,17
1708,1,1,17
1129,1,1,17
76,1,1,16
2065,1,1,15
1251,1,1,15
1248,1,1,15
725,1,1,14
2559,1,1,14
507,1,1,14
1942,1,1,13
1232,1,1,12
534,1,1,12
994,1,1,12
503,1,1,12
2448,1,1,11
846,1,1,10
1,160,10,23
1,1028,7,49
1,309,5,73
1,11,5,68
1,594,5,67
1,1316,5,53
1,1392,4,105
1,1583,4,75
1,888,4,63
1,637,4,107
1,1520,4,102
1,18,4,21
1,35,4,34
1,1901,3,101
1,44,3,104
1,10,3,71
1,783,3,65
1,821,3,66
1,112,3,60
1,964,3,50
1,89,3,46
1,20,3,44
1,256,3,44
1,223,3,12
1,1881,2,108
1,351,2,99
1,196,2,84
1,416,2,84
1,1877,2,74
1,87,2,75
1,2367,2,68
1,3254,2,68
1,1573,2,99
1,247,2,69
1,1353,2,93
1,493,2,61
1,1358,2,69
1,1177,2,60
1,1538,2,57
1,2296,2,58
1,222,2,80
1,2282,2,53
1,2113,2,52
1,2260,2,50
1,71,2,49
1,142,2,63
1,2249,2,55
1,1519,2,61
1,2227,2,53
1,1496,2,37
1,519,2,37
1,1493,2,37
1,1315,2,37
1,1750,2,34
1,156,2,30
1,9,2,33
1,1724,2,27
1,22,2,26
1,15,2,25
1,255,2,28
1,1267,2,61
1,1261,2,16
1,57,2,21
1,710,2,21
1,472,2,14
1,152,2,53
1,1952,2,19
1,1606,2,10
1,379,2,9
1,4,2,9
1,563,2,19
1,113,2,1
1,744,1,3
1,625,1,3
1,3422,1,108
1,3421,1,108
1,3418,1,107
1,3402,1,107
1,250,1,107
1,249,1,106
1,2427,1,107
1,3414,1,105
1,1590,1,104
1,3355,1,104
1,2305,1,102
1,1900,1,101
1,3385,1,94
1,1147,1,93
1,377,1,93
1,1072,1,93
1,96,1,91
1,118,1,91
1,3375,1,91
1,3367,1,90
1,1024,1,89
1,709,1,88
1,3349,1,87
1,1580,1,87
1,545,1,84
1,146,1,83
1,1198,1,83
1,1589,1,82
