u,i,label,ts
6,2,4,0
6,5,2,0
1,15,1,0
4,3,7,0
13,16,8,0
13,10,8,0
7,5,1,0
2,21,5,0
2,20,5,0
21,2,5,0
21,1,8,0
21,10,8,0
21,8,9,0
21,3,7,0
17,3,5,0
17,23,1,0
10,1,8,0
10,6,7,0
10,21,8,0
10,8,1,0
10,25,10,0
10,2,7,0
10,3,7,0
4,26,1,0
26,4,1,0
5,1,3,0
5,6,3,0
5,7,1,0
1,5,4,0
6,4,2,0
4,6,5,0
2,4,5,0
17,28,1,0
17,13,2,0
13,17,2,0
13,29,2,0
29,13,2,0
17,20,2,0
4,31,1,0
31,4,2,0
32,6,1,0
13,1,8,1
7,34,1,1
34,7,1,1
32,1,1,1
1,32,1,1
1,34,1,1
34,1,1,1
34,13,1,1
13,34,1,1
6,7,5,1
7,6,3,1
1,17,9,1
1,31,2,1
31,1,3,1
35,6,2,1
1,13,3,1
36,37,1,1
37,36,1,1
35,1,1,1
17,1,9,1
8,1,3,1
7,29,2,1
1,20,2,1
37,44,1,1
44,37,1,1
39,45,1,1
39,7,3,1
39,44,1,1
44,39,1,1
23,17,1,2
23,19,1,2
36,46,1,2
46,36,1,2
47,1,2,2
13,7,1,2
7,13,1,2
29,51,1,2
51,29,1,2
29,52,1,2
52,29,1,2
45,39,2,2
45,53,2,2
53,45,2,2
45,54,2,2
54,45,2,2
1,54,1,2
54,1,1,2
7,3,6,2
36,41,2,2
41,36,2,2
36,21,2,2
21,36,2,2
7,36,3,2
36,7,4,2
7,53,4,2
53,7,4,2
7,55,1,2
55,7,1,2
29,7,2,2
4,57,5,2
39,21,2,3
21,39,2,3
4,61,2,3
61,4,3,3
61,20,8,3
61,2,2,3
35,65,1,3
65,35,2,3
56,1,2,3
1,56,2,3
4,66,2,3
66,4,2,3
21,7,5,3
7,20,4,3
35,69,1,3
35,70,1,3
39,69,2,3
69,39,2,3
69,35,2,3
1,71,1,3
71,1,8,3
7,28,2,3
28,7,1,3
4,72,4,3
1,74,1,3
74,1,1,3
41,75,1,3
68,64,1,3
76,7,1,3
7,76,1,3
7,19,5,3
32,23,1,3
23,32,1,3
23,20,1,3
61,77,4,3
1,78,1,3
78,1,1,3
60,41,1,3
41,60,1,3
78,60,1,3
60,78,1,3
57,4,2,3
23,69,1,3
69,23,1,3
64,68,1,3
35,79,1,3
79,35,1,3
41,4,1,4
4,41,1,4
1,68,2,4
68,1,2,4
69,28,3,4
28,69,3,4
64,80,1,4
17,81,1,4
81,17,1,4
69,62,1,4
62,69,1,4
41,83,1,4
41,104,1,4
83,41,1,4
41,86,1,4
86,41,1,4
104,41,1,4
4,87,1,4
87,4,1,4
81,69,2,4
69,81,2,4
41,89,1,4
89,41,1,4
60,87,1,4
87,60,1,4
7,89,2,4
89,7,2,4
64,94,1,4
41,70,1,4
94,64,1,4
70,95,1,4
95,70,3,4
70,41,1,4
70,35,1,4
39,17,3,4
17,39,1,4
70,96,1,4
96,70,3,4
15,97,2,4
97,15,2,4
69,99,4,4
99,69,1,4
88,7,3,4
1,81,1,4
70,15,1,4
15,70,1,4
81,1,1,4
1,101,1,4
62,54,2,4
54,62,2,4
101,1,1,4
100,101,1,5
101,103,1,5
80,25,2,5
100,60,2,5
39,4,1,5
4,39,1,5
41,105,1,5
72,4,4,5
96,106,1,5
106,96,1,5
81,107,2,5
107,81,3,5
60,108,1,5
108,60,1,5
97,68,1,5
68,97,1,5
96,107,2,5
7,109,1,5
109,7,1,5
41,110,1,5
41,68,1,5
68,41,1,5
107,96,2,5
23,7,5,5
7,111,1,5
111,7,1,5
64,112,2,5
112,64,2,5
112,77,1,5
112,115,2,5
112,60,4,5
60,112,4,5
109,39,1,5
39,109,1,5
6,114,2,5
114,39,1,5
6,32,1,5
39,114,1,5
47,7,1,6
1,119,1,6
119,1,10,6
100,1,3,6
100,7,4,6
7,100,2,6
7,47,1,6
7,122,1,6
122,7,1,6
23,108,1,6
108,23,1,6
108,104,1,6
104,108,1,6
60,56,2,6
115,77,3,6
119,127,10,6
119,25,1,6
