,u,i,ts,label,idx
0,384,353,0.0,0.0,1
1,411,353,0.0,0.0,2
2,676,353,0.0,0.0,3
3,467,353,0.0,0.0,4
4,120,353,0.0,0.0,5
5,149,353,0.0,0.0,6
6,204,353,0.0,0.0,7
7,53,353,0.0,0.0,8
8,342,353,0.0,0.0,9
9,80,353,0.0,0.0,10
10,523,353,0.0,0.0,11
11,412,353,0.0,0.0,12
12,158,353,0.0,0.0,13
13,536,353,0.0,0.0,14
14,711,353,0.0,0.0,15
15,712,353,0.0,0.0,16
16,6,353,0.0,0.0,17
17,81,353,0.0,0.0,18
18,457,353,0.0,0.0,19
19,719,353,0.0,0.0,20
20,381,353,0.0,0.0,21
21,505,353,0.0,0.0,22
22,356,353,0.0,0.0,23
23,218,353,0.0,0.0,24
24,643,353,0.0,0.0,25
25,217,353,0.0,0.0,26
26,610,353,0.0,0.0,27
27,705,353,0.0,0.0,28
28,410,353,0.0,0.0,29
29,58,353,0.0,0.0,30
30,566,353,0.0,0.0,31
31,708,353,0.0,0.0,32
32,103,353,0.0,0.0,33
33,456,353,0.0,0.0,34
34,231,353,0.0,0.0,35
35,468,353,0.0,0.0,36
36,282,353,0.0,0.0,37
37,734,353,0.0,0.0,38
38,527,353,0.0,0.0,39
39,363,353,0.0,0.0,40
40,603,353,0.0,0.0,41
41,174,353,0.0,0.0,42
42,469,353,0.0,0.0,43
43,692,353,0.0,0.0,44
44,366,353,0.0,0.0,45
45,401,353,0.0,0.0,46
46,662,353,0.0,0.0,47
47,539,353,0.0,0.0,48
48,518,353,0.0,0.0,49
49,15,353,0.0,0.0,50
50,650,353,0.0,0.0,51
51,682,353,0.0,0.0,52
52,139,353,0.0,0.0,53
53,592,353,0.0,0.0,54
54,183,353,0.0,0.0,55
55,343,353,0.0,0.0,56
56,66,353,0.0,0.0,57
57,136,353,0.0,0.0,58
58,380,353,0.0,0.0,59
59,167,353,0.0,0.0,60
60,195,353,0.0,0.0,61
61,597,353,0.0,0.0,62
62,392,353,0.0,0.0,63
63,398,353,0.0,0.0,64
64,428,353,0.0,0.0,65
65,451,353,0.0,0.0,66
66,111,353,0.0,0.0,67
67,630,353,0.0,0.0,68
68,114,353,0.0,0.0,69
69,242,353,0.0,0.0,70
70,345,353,0.0,0.0,71
71,413,353,0.0,0.0,72
72,402,353,0.0,0.0,73
73,593,353,0.0,0.0,74
74,513,353,0.0,0.0,75
75,497,353,0.0,0.0,76
76,702,353,0.0,0.0,77
77,8,353,0.0,0.0,78
78,672,353,0.0,0.0,79
79,198,353,0.0,0.0,80
80,334,353,0.0,0.0,81
81,663,353,0.0,0.0,82
82,563,353,0.0,0.0,83
83,601,353,0.0,0.0,84
84,254,353,0.0,0.0,85
85,714,353,0.0,0.0,86
86,596,353,0.0,0.0,87
87,344,353,0.0,0.0,88
88,572,353,0.0,0.0,89
89,675,353,0.0,0.0,90
90,112,353,0.0,0.0,91
91,143,353,0.0,0.0,92
92,185,353,0.0,0.0,93
93,361,353,0.0,0.0,94
94,65,353,0.0,0.0,95
95,573,353,0.0,0.0,96
96,332,353,0.0,0.0,97
97,197,353,0.0,0.0,98
98,326,353,0.0,0.0,99
99,32,353,0.0,0.0,100
100,298,353,0.0,0.0,101
101,525,353,0.0,0.0,102
102,339,353,0.0,0.0,103
103,646,353,0.0,0.0,104
104,545,353,0.0,0.0,105
105,464,353,0.0,0.0,106
106,622,353,0.0,0.0,107
107,449,353,0.0,0.0,108
108,441,353,0.0,0.0,109
109,472,353,0.0,0.0,110
110,448,353,0.0,0.0,111
111,618,353,0.0,0.0,112
112,330,353,0.0,0.0,113
113,530,353,0.0,0.0,114
114,577,353,0.0,0.0,115
115,303,353,0.0,0.0,116
116,273,353,0.0,0.0,117
117,13,353,0.0,0.0,118
118,613,353,0.0,0.0,119
119,12,353,0.0,0.0,120
120,475,353,0.0,0.0,121
121,425,353,0.0,0.0,122
122,346,353,0.0,0.0,123
123,403,353,0.0,0.0,124
124,679,353,0.0,0.0,125
125,108,353,0.0,0.0,126
126,280,353,0.0,0.0,127
127,715,353,0.0,0.0,128
128,355,353,0.0,0.0,129
129,673,353,0.0,0.0,130
130,612,353,0.0,0.0,131
131,414,353,0.0,0.0,132
132,238,353,0.0,0.0,133
133,378,353,0.0,0.0,134
134,697,353,0.0,0.0,135
135,400,353,0.0,0.0,136
136,487,353,0.0,0.0,137
137,213,353,0.0,0.0,138
138,228,353,0.0,0.0,139
139,145,353,0.0,0.0,140
140,159,353,0.0,0.0,141
141,382,353,0.0,0.0,142
142,225,353,0.0,0.0,143
143,105,353,0.0,0.0,144
144,664,353,0.0,0.0,145
145,423,353,0.0,0.0,146
146,341,353,0.0,0.0,147
147,689,353,0.0,0.0,148
148,199,353,0.0,0.0,149
149,336,353,0.0,0.0,150
150,291,353,0.0,0.0,151
151,333,353,0.0,0.0,152
152,640,353,0.0,0.0,153
153,354,353,0.0,0.0,154
154,442,353,0.0,0.0,155
155,19,353,0.0,0.0,156
156,7,353,0.0,0.0,157
157,70,353,0.0,0.0,158
158,239,353,0.0,0.0,159
159,450,353,0.0,0.0,160
