u,i,ts,label
1,67,0.0,1
4,116,0.0,1
4,253,0.0,1
6,32,0.0,1
7,92,0.0,1
8,248,0.0,1
10,78,0.0,1
10,272,0.0,1
11,235,0.0,1
13,23,0.0,1
13,66,0.0,1
13,153,0.0,1
13,210,0.0,1
16,27,0.0,1
16,235,0.0,1
17,89,0.0,1
18,91,0.0,1
18,305,0.0,1
23,13,0.0,1
23,144,0.0,1
23,210,0.0,1
23,247,0.0,1
24,288,0.0,1
24,314,0.0,1
26,69,0.0,1
26,125,0.0,1
27,16,0.0,1
27,235,0.0,1
28,175,0.0,1
28,226,0.0,1
29,63,0.0,1
29,150,0.0,1
29,221,0.0,1
29,259,0.0,1
32,6,0.0,1
33,144,0.0,1
33,247,0.0,1
33,280,0.0,1
33,303,0.0,1
35,223,0.0,1
37,233,0.0,1
38,291,0.0,1
40,84,0.0,1
40,222,0.0,1
40,242,0.0,1
44,105,0.0,1
44,209,0.0,1
45,83,0.0,1
45,284,0.0,1
45,306,0.0,1
46,234,0.0,1
46,252,0.0,1
46,256,0.0,1
47,149,0.0,1
47,237,0.0,1
48,140,0.0,1
49,75,0.0,1
50,66,0.0,1
50,186,0.0,1
50,278,0.0,1
50,301,0.0,1
55,61,0.0,1
56,82,0.0,1
56,151,0.0,1
59,74,0.0,1
61,55,0.0,1
61,93,0.0,1
62,181,0.0,1
63,29,0.0,1
64,208,0.0,1
64,224,0.0,1
66,13,0.0,1
66,50,0.0,1
66,301,0.0,1
67,1,0.0,1
69,26,0.0,1
69,125,0.0,1
70,304,0.0,1
71,194,0.0,1
72,148,0.0,1
73,92,0.0,1
74,59,0.0,1
75,49,0.0,1
75,109,0.0,1
75,197,0.0,1
75,240,0.0,1
77,228,0.0,1
78,10,0.0,1
78,272,0.0,1
81,142,0.0,1
81,171,0.0,1
82,56,0.0,1
82,151,0.0,1
83,45,0.0,1
83,229,0.0,1
84,40,0.0,1
84,242,0.0,1
85,157,0.0,1
86,210,0.0,1
87,92,0.0,1
89,17,0.0,1
91,18,0.0,1
91,305,0.0,1
92,7,0.0,1
92,73,0.0,1
92,87,0.0,1
92,225,0.0,1
93,61,0.0,1
93,97,0.0,1
93,221,0.0,1
93,263,0.0,1
95,305,0.0,1
96,138,0.0,1
96,274,0.0,1
97,93,0.0,1
97,263,0.0,1
98,239,0.0,1
99,168,0.0,1
99,198,0.0,1
99,257,0.0,1
100,128,0.0,1
101,311,0.0,1
102,158,0.0,1
103,298,0.0,1
105,44,0.0,1
108,112,0.0,1
109,75,0.0,1
109,197,0.0,1
112,108,0.0,1
114,241,0.0,1
115,267,0.0,1
115,302,0.0,1
116,4,0.0,1
116,253,0.0,1
119,261,0.0,1
120,243,0.0,1
121,228,0.0,1
122,172,0.0,1
122,300,0.0,1
125,26,0.0,1
125,69,0.0,1
128,100,0.0,1
131,145,0.0,1
138,96,0.0,1
138,266,0.0,1
139,238,0.0,1
140,48,0.0,1
141,295,0.0,1
142,81,0.0,1
142,171,0.0,1
144,23,0.0,1
144,33,0.0,1
144,247,0.0,1
144,280,0.0,1
144,303,0.0,1
145,131,0.0,1
146,279,0.0,1
148,72,0.0,1
149,47,0.0,1
149,237,0.0,1
150,29,0.0,1
150,221,0.0,1
150,259,0.0,1
151,56,0.0,1
151,82,0.0,1
152,154,0.0,1
152,217,0.0,1
152,277,0.0,1
153,13,0.0,1
154,152,0.0,1
154,217,0.0,1
154,277,0.0,1
156,249,0.0,1
157,85,0.0,1
158,102,0.0,1
159,244,0.0,1
165,262,0.0,1
166,181,0.0,1
168,99,0.0,1
171,81,0.0,1
171,142,0.0,1
172,122,0.0,1
172,300,0.0,1
175,28,0.0,1
175,226,0.0,1
180,183,0.0,1
181,62,0.0,1
181,166,0.0,1
181,205,0.0,1
182,216,0.0,1
183,180,0.0,1
184,277,0.0,1
186,50,0.0,1
186,278,0.0,1
187,222,0.0,1
190,245,0.0,1
192,311,0.0,1
193,246,0.0,1
193,292,0.0,1
194,71,0.0,1
197,75,0.0,1
197,109,0.0,1
198,99,0.0,1
205,181,0.0,1
207,285,0.0,1
208,64,0.0,1
208,224,0.0,1
209,44,0.0,1
210,13,0.0,1
210,23,0.0,1
210,86,0.0,1
214,282,0.0,1
216,182,0.0,1
217,152,0.0,1
217,154,0.0,1
217,277,0.0,1
219,312,0.0,1
221,29,0.0,1
221,93,0.0,1
221,150,0.0,1
221,259,0.0,1
222,40,0.0,1
222,187,0.0,1
223,35,0.0,1
223,254,0.0,1
224,64,0.0,1
224,208,0.0,1
225,92,0.0,1
226,28,0.0,1
226,175,0.0,1
228,77,0.0,1
228,121,0.0,1
229,83,0.0,1
233,37,0.0,1
234,46,0.0,1
234,256,0.0,1
235,11,0.0,1
235,16,0.0,1
235,27,0.0,1
237,47,0.0,1
237,149,0.0,1
238,139,0.0,1
239,98,0.0,1
240,75,0.0,1
241,114,0.0,1
242,40,0.0,1
242,84,0.0,1
243,120,0.0,1
244,159,0.0,1
245,190,0.0,1
246,193,0.0,1
246,292,0.0,1
247,23,0.0,1
247,33,0.0,1
247,144,0.0,1
247,280,0.0,1
247,290,0.0,1
248,8,0.0,1
249,156,0.0,1
252,46,0.0,1
253,4,0.0,1
253,116,0.0,1
254,223,0.0,1
256,46,0.0,1
256,234,0.0,1
257,99,0.0,1
259,29,0.0,1
259,150,0.0,1
259,221,0.0,1
261,119,0.0,1
262,165,0.0,1
263,93,0.0,1
263,97,0.0,1
266,138,0.0,1
267,115,0.0,1
267,302,0.0,1
269,281,0.0,1
270,300,0.0,1
272,10,0.0,1
272,78,0.0,1
274,96,0.0,1
277,152,0.0,1
277,154,0.0,1
277,184,0.0,1
277,217,0.0,1
278,50,0.0,1
278,186,0.0,1
278,301,0.0,1
279,146,0.0,1
280,33,0.0,1
280,144,0.0,1
280,247,0.0,1
281,269,0.0,1
282,214,0.0,1
284,45,0.0,1
285,207,0.0,1
288,24,0.0,1
288,314,0.0,1
290,247,0.0,1
291,38,0.0,1
292,193,0.0,1
292,246,0.0,1
295,141,0.0,1
296,305,0.0,1
296,307,0.0,1
298,103,0.0,1
300,122,0.0,1
300,172,0.0,1
300,270,0.0,1
