u,i,ts,label
5,51,0.0,1
5,72,0.0,1
5,74,0.0,1
6,63,0.0,1
6,115,0.0,1
6,126,0.0,1
6,136,0.0,1
7,32,0.0,1
9,13,0.0,1
9,20,0.0,1
9,48,0.0,1
9,91,0.0,1
9,152,0.0,1
12,34,0.0,1
13,9,0.0,1
13,91,0.0,1
14,90,0.0,1
16,47,0.0,1
16,93,0.0,1
16,118,0.0,1
20,9,0.0,1
21,133,0.0,1
23,95,0.0,1
23,161,0.0,1
25,108,0.0,1
27,34,0.0,1
27,37,0.0,1
27,63,0.0,1
27,74,0.0,1
28,183,0.0,1
29,50,0.0,1
29,171,0.0,1
31,95,0.0,1
32,7,0.0,1
32,77,0.0,1
32,86,0.0,1
33,161,0.0,1
34,12,0.0,1
34,27,0.0,1
34,38,0.0,1
34,63,0.0,1
34,73,0.0,1
34,82,0.0,1
34,107,0.0,1
34,133,0.0,1
34,146,0.0,1
34,167,0.0,1
35,44,0.0,1
37,27,0.0,1
37,74,0.0,1
38,34,0.0,1
39,116,0.0,1
39,126,0.0,1
40,121,0.0,1
41,90,0.0,1
44,35,0.0,1
47,16,0.0,1
47,126,0.0,1
48,9,0.0,1
49,107,0.0,1
50,29,0.0,1
50,115,0.0,1
50,172,0.0,1
51,5,0.0,1
51,73,0.0,1
51,74,0.0,1
51,82,0.0,1
51,94,0.0,1
53,133,0.0,1
57,74,0.0,1
61,126,0.0,1
62,126,0.0,1
63,6,0.0,1
63,27,0.0,1
63,34,0.0,1
63,73,0.0,1
63,82,0.0,1
63,107,0.0,1
63,146,0.0,1
64,133,0.0,1
69,74,0.0,1
72,5,0.0,1
73,34,0.0,1
73,51,0.0,1
73,63,0.0,1
73,74,0.0,1
73,146,0.0,1
73,158,0.0,1
73,161,0.0,1
74,5,0.0,1
74,27,0.0,1
74,37,0.0,1
74,51,0.0,1
74,57,0.0,1
74,69,0.0,1
74,73,0.0,1
74,82,0.0,1
74,94,0.0,1
74,107,0.0,1
74,128,0.0,1
74,147,0.0,1
74,161,0.0,1
77,32,0.0,1
78,82,0.0,1
78,159,0.0,1
82,34,0.0,1
82,51,0.0,1
82,63,0.0,1
82,74,0.0,1
82,78,0.0,1
82,84,0.0,1
84,82,0.0,1
85,133,0.0,1
86,32,0.0,1
89,126,0.0,1
90,14,0.0,1
90,41,0.0,1
90,130,0.0,1
91,9,0.0,1
91,13,0.0,1
93,16,0.0,1
93,126,0.0,1
94,51,0.0,1
94,74,0.0,1
95,23,0.0,1
95,31,0.0,1
95,98,0.0,1
95,100,0.0,1
95,124,0.0,1
95,151,0.0,1
95,170,0.0,1
98,95,0.0,1
98,103,0.0,1
98,124,0.0,1
99,136,0.0,1
100,95,0.0,1
102,126,0.0,1
103,98,0.0,1
103,124,0.0,1
107,34,0.0,1
107,49,0.0,1
107,63,0.0,1
107,74,0.0,1
107,153,0.0,1
108,25,0.0,1
108,158,0.0,1
110,155,0.0,1
115,6,0.0,1
115,50,0.0,1
115,171,0.0,1
115,174,0.0,1
116,39,0.0,1
116,159,0.0,1
118,16,0.0,1
