u,i,ts,label
1,2,0,0
3,4,0,0
5,2,1,0
6,7,2,0
8,7,2,0
9,10,2,0
9,11,2,0
12,13,2,0
9,14,2,0
9,15,2,0
9,16,2,0
9,17,2,0
9,14,2,0
9,18,2,0
19,18,2,0
20,21,2,0
19,22,2,0
8,23,2,0
9,24,2,0
9,22,2,0
25,21,2,0
26,7,2,0
27,28,2,0
29,25,2,0
30,31,2,0
30,31,2,0
30,31,2,0
30,31,2,0
32,33,2,0
34,35,2,0
34,33,2,0
36,37,2,0
38,39,2,0
36,40,2,0
41,15,2,0
41,11,2,0
41,14,2,0
41,13,2,0
41,39,2,0
41,42,2,0
41,43,2,0
9,40,2,0
44,45,2,0
46,22,2,0
44,46,2,0
47,46,2,0
48,46,2,0
9,49,2,0
36,50,2,0
44,51,2,0
32,52,2,0
36,32,2,0
53,54,2,0
36,55,2,0
56,57,2,0
36,32,2,0
36,58,2,0
44,59,2,0
51,58,2,0
44,14,2,0
36,56,2,0
36,60,2,0
56,61,2,0
62,50,2,0
36,60,2,0
32,59,2,0
36,60,2,0
36,50,2,0
41,63,2,0
41,64,2,0
41,65,2,0
41,56,2,0
41,61,2,0
41,43,2,0
41,52,2,0
41,58,2,0
41,59,2,0
9,64,2,0
9,58,2,0
12,66,2,0
32,58,2,0
12,66,2,0
67,32,2,0
41,32,2,0
67,32,2,0
32,68,2,0
68,56,2,0
67,32,2,0
67,32,2,0
68,61,2,0
67,32,2,0
67,8,2,0
69,67,2,0
70,51,2,0
44,50,2,0
67,32,2,0
71,58,2,0
71,72,2,0
51,58,2,0
72,71,2,0
73,74,2,0
74,73,2,0
73,74,2,0
74,73,2,0
34,58,2,0
44,75,2,0
44,75,2,0
9,58,2,0
73,74,2,0
9,76,2,0
32,77,2,0
41,76,2,0
41,78,2,0
79,48,2,0
79,63,2,0
41,80,2,0
79,58,2,0
41,81,2,0
79,70,2,0
19,82,2,0
19,72,2,0
12,32,2,0
19,64,2,0
19,58,2,0
19,58,2,0
19,58,2,0
19,52,2,0
83,59,2,0
51,70,2,0
38,58,2,0
41,58,2,0
63,79,2,0
41,63,2,0
67,59,2,0
41,63,2,0
41,58,2,0
44,84,2,0
19,85,3,0
19,72,3,0
3,84,3,0
19,8,3,0
19,58,3,0
84,86,3,0
83,58,3,0
36,60,3,0
86,48,3,0
87,63,3,0
36,88,3,0
87,8,3,0
36,89,3,0
90,56,3,0
36,90,3,0
36,84,3,0
91,92,3,0
36,93,3,0
91,92,3,0
36,90,3,0
91,92,3,0
36,60,3,0
36,84,3,0
51,58,3,0
94,84,3,0
36,84,3,0
94,84,3,0
94,84,3,0
69,84,3,0
69,95,3,0
87,8,3,0
3,84,3,0
3,84,3,0
48,86,3,0
84,8,3,0
91,81,3,0
96,88,3,0
8,84,3,0
84,8,3,0
91,47,3,0
97,98,3,0
98,97,3,0
97,98,3,0
48,97,3,0
99,8,3,0
99,8,3,0
97,48,3,0
100,101,3,0
102,97,3,0
97,48,3,0
97,102,3,0
101,100,3,0
48,58,3,0
97,48,3,0
103,72,3,0
103,58,3,0
104,59,3,0
104,59,3,0
103,72,3,0
105,56,3,0
106,72,3,0
105,61,3,0
105,8,3,0
105,33,3,0
105,107,3,0
105,81,3,0
44,102,3,0
36,105,3,0
36,104,3,0
34,108,3,0
34,109,3,0
36,110,3,0
111,112,3,0
34,58,3,0
36,113,3,0
36,109,3,0
79,109,3,0
114,105,3,0
101,115,3,0
56,90,3,0
56,105,3,0
56,68,3,0
29,58,3,0
87,58,3,0
44,116,3,0
44,117,3,0
44,117,3,0
44,79,3,0
80,58,3,0
96,32,3,0
118,100,3,0
119,120,3,0
119,120,3,0
120,119,3,0
120,75,3,0
119,120,3,0
120,119,3,0
119,58,3,0
74,73,3,0
118,120,3,0
121,108,3,0
72,106,3,0
44,92,3,0
26,122,3,0
44,79,3,0
1,123,3,0
96,124,3,0
125,126,3,0
36,104,3,0
44,79,3,0
44,79,3,0
36,124,3,0
36,127,3,0
36,128,3,0
44,79,3,0
44,129,3,0
44,116,3,0
9,120,3,0
79,58,3,0
36,109,3,0
124,109,3,0
36,109,3,0
124,61,3,0
124,72,3,0
36,109,3,0
36,112,3,0
124,85,3,0
85,124,3,0
32,130,3,0
36,112,3,0
124,85,3,0
72,124,3,0
124,8,3,0
131,30,3,0
99,126,3,0
103,72,3,0
103,72,3,0
103,63,3,0
103,117,3,0
103,72,3,0
131,30,3,0
69,95,3,0
69,124,3,0
69,79,3,0
132,30,3,0
36,99,3,0
36,133,3,0
36,60,3,0
36,134,3,0
36,133,3,0
36,81,3,0
103,72,3,0
103,135,3,0
133,135,3,0
135,133,3,0
36,133,3,0
103,135,3,0
19,52,3,0
133,135,3,0
103,135,3,0
103,135,3,0
135,133,3,0
133,135,3,0
36,133,3,0
36,133,3,0
36,133,3,0
9,109,3,0
9,109,3,0
62,136,3,0
96,32,3,0
137,138,3,0
96,137,3,0
19,120,3,0
44,90,3,0
96,137,3,0
137,138,3,0
19,139,3,0
44,60,3,0
44,88,3,0
44,102,3,0
44,90,3,0
19,111,3,0
44,90,3,0
9,32,3,0
44,90,3,0
44,90,3,0
103,63,3,0
103,72,3,0
38,86,3,0
140,105,3,0
103,72,3,0
38,86,3,0
38,101,3,0
38,101,3,0
38,101,3,0
103,101,3,0
38,101,3,0
103,101,3,0
38,61,3,0
75,120,3,0
38,81,3,0
44,141,3,0
44,141,3,0
44,74,3,0
44,127,3,0
124,135,3,0
140,124,3,0
19,82,3,0
19,82,3,0
19,82,3,0
105,56,3,0
19,82,3,0
124,135,3,0
105,58,3,0
105,63,3,0
19,82,3,0
105,61,3,0
105,135,3,0
