,u,i,ts,label,idx
0,151,92,0.0,0.0,1
1,151,185,0.0,0.0,2
2,151,64,0.0,0.0,3
3,151,171,0.0,0.0,4
4,151,217,0.0,0.0,5
5,151,78,0.0,0.0,6
6,151,99,0.0,0.0,7
7,151,28,0.0,0.0,8
8,151,126,0.0,0.0,9
9,151,173,0.0,0.0,10
10,151,219,0.0,0.0,11
11,151,30,0.0,0.0,12
12,151,82,0.0,0.0,13
13,151,119,0.0,0.0,14
14,151,132,0.0,0.0,15
15,151,103,0.0,0.0,16
16,151,117,0.0,0.0,17
17,151,177,0.0,0.0,18
18,151,178,0.0,0.0,19
19,151,192,0.0,0.0,20
20,151,224,0.0,0.0,21
21,151,179,0.0,0.0,22
22,151,172,0.0,0.0,23
23,151,124,0.0,0.0,24
24,151,200,0.0,0.0,25
25,151,196,0.0,0.0,26
26,151,14,0.0,0.0,27
27,151,137,0.0,0.0,28
28,151,138,0.0,0.0,29
29,151,113,0.0,0.0,30
30,151,36,0.0,0.0,31
31,151,69,0.0,0.0,32
32,151,193,0.0,0.0,33
33,151,90,0.0,0.0,34
34,151,91,0.0,0.0,35
35,151,25,0.0,0.0,36
36,151,98,0.0,0.0,37
37,151,26,0.0,0.0,38
38,151,79,0.0,0.0,39
39,151,27,0.0,0.0,40
40,151,29,0.0,0.0,41
41,151,220,0.0,0.0,42
42,151,48,0.0,0.0,43
43,151,189,0.0,0.0,44
44,151,81,0.0,0.0,45
45,151,32,0.0,0.0,46
46,151,131,0.0,0.0,47
47,151,176,0.0,0.0,48
48,151,120,0.0,0.0,49
49,151,84,0.0,0.0,50
50,151,33,0.0,0.0,51
51,151,129,0.0,0.0,52
52,151,35,0.0,0.0,53
53,151,34,0.0,0.0,54
54,151,134,0.0,0.0,55
55,151,153,0.0,0.0,56
56,151,213,0.0,0.0,57
57,151,53,0.0,0.0,58
58,151,38,0.0,0.0,59
59,151,88,0.0,0.0,60
60,151,180,0.0,0.0,61
61,151,154,0.0,0.0,62
62,151,109,0.0,0.0,63
63,151,45,0.0,0.0,64
64,151,89,0.0,0.0,65
65,151,182,0.0,0.0,66
66,151,128,0.0,0.0,67
67,151,170,0.0,0.0,68
68,151,174,0.0,0.0,69
69,151,108,0.0,0.0,70
70,151,204,0.0,0.0,71
71,151,143,0.0,0.0,72
72,151,149,0.0,0.0,73
73,151,80,0.0,0.0,74
74,151,187,0.0,0.0,75
75,151,150,0.0,0.0,76
76,151,221,0.0,0.0,77
77,151,222,0.0,0.0,78
78,151,198,0.0,0.0,79
79,151,199,0.0,0.0,80
80,151,133,0.0,0.0,81
81,151,31,0.0,0.0,82
82,151,118,0.0,0.0,83
83,151,183,0.0,0.0,84
84,151,86,0.0,0.0,85
85,151,40,0.0,0.0,86
86,151,17,0.0,0.0,87
87,151,87,0.0,0.0,88
88,151,146,0.0,0.0,89
89,151,93,0.0,0.0,90
90,151,202,0.0,0.0,91
91,151,121,0.0,0.0,92
92,151,197,0.0,0.0,93
93,151,37,0.0,0.0,94
94,151,159,0.0,0.0,95
95,151,130,0.0,0.0,96
96,151,181,0.0,0.0,97
97,151,175,0.0,0.0,98
98,151,58,0.0,0.0,99
99,151,141,0.0,0.0,100
100,92,185,0.0,0.0,101
101,92,64,0.0,0.0,102
102,92,171,0.0,0.0,103
103,92,217,0.0,0.0,104
104,92,78,0.0,0.0,105
105,92,99,0.0,0.0,106
106,92,28,0.0,0.0,107
107,92,126,0.0,0.0,108
108,92,173,0.0,0.0,109
109,92,219,0.0,0.0,110
110,92,30,0.0,0.0,111
111,92,82,0.0,0.0,112
112,92,119,0.0,0.0,113
113,92,132,0.0,0.0,114
114,92,103,0.0,0.0,115
115,92,117,0.0,0.0,116
116,92,177,0.0,0.0,117
117,92,178,0.0,0.0,118
118,92,192,0.0,0.0,119
119,92,224,0.0,0.0,120
120,92,179,0.0,0.0,121
121,92,172,0.0,0.0,122
122,92,124,0.0,0.0,123
123,92,200,0.0,0.0,124
124,92,196,0.0,0.0,125
125,92,14,0.0,0.0,126
126,92,137,0.0,0.0,127
127,92,138,0.0,0.0,128
128,92,113,0.0,0.0,129
129,92,36,0.0,0.0,130
130,92,69,0.0,0.0,131
131,92,193,0.0,0.0,132
132,92,90,0.0,0.0,133
133,92,91,0.0,0.0,134
134,92,25,0.0,0.0,135
135,92,98,0.0,0.0,136
136,92,26,0.0,0.0,137
137,92,79,0.0,0.0,138
138,92,27,0.0,0.0,139
139,92,29,0.0,0.0,140
140,92,220,0.0,0.0,141
141,92,48,0.0,0.0,142
