W,CanParl,USLegis,Trade,UCI-Message,UNVote,AS733,Enron,Colab,Bitcoin-OTC,Bitcoin-Alpha
1,73.02,83.94,93.07,66.91,83.93,94.57,91.28,91.39,60.32,54.78
2,61.66,85.37,93.13,71.27,81.90,95.07,91.13,91.22,68.08,57.91
3,60.28,86.05,92.88,76.15,86.15,94.77,90.09,90.76,74.34,61.40
4,68.87,86.32,92.54,77.60,88.71,95.01,90.58,90.67,75.77,61.07
5,59.33,86.69,92.24,78.48,80.08,95.03,90.47,90.33,81.37,53.30
6,80.72,86.64,92.67,77.66,82.18,94.51,90.56,90.28,82.01,59.36
7,83.55,86.36,92.35,78.83,88.88,94.69,90.54,89.89,81.32,71.48
8,83.10,85.74,92.44,78.82,84.99,94.56,90.87,90.07,85.56,75.57
9,82.90,90.38,92.75,80.03,87.45,94.72,91.55,90.31,85.22,67.17
10,83.63,89.63,92.61,78.84,78.65,94.58,91.52,90.17,87.59,74.32
-1,79.44,88.36,92.78,77.04,81.60,94.88,91.84,90.20,92.23,81.10
