W,CanParl,USLegis,Trade,UCI-Message,UNVote,AS733,Enron,Colab,Bitcoin-OTC,Bitcoin-Alpha
1,51.37,73.46,82.42,55.06,97.30,82.15,71.53,70.34,50.08,51.33
2,51.23,68.46,81.21,55.98,97.40,82.78,75.41,74.41,50.29,51.33
3,54.93,63.99,79.31,57.27,98.20,82.92,77.23,75.53,50.16,52.00
4,54.75,62.72,78.21,57.51,87.36,82.94,78.75,76.37,50.16,52.67
5,54.68,60.08,77.32,59.39,87.19,83.01,78.60,76.65,50.26,55.33
6,54.32,59.19,76.46,61.14,78.99,83.22,79.12,76.74,50.26,58.00
7,54.32,58.30,75.76,62.24,66.40,83.22,79.35,77.02,50.47,58.00
8,54.68,57.75,75.25,62.24,66.40,83.23,71.53,70.34,50.47,58.67
9,54.48,73.40,71.95,66.98,66.40,83.25,75.41,74.41,50.47,58.67
10,51.37,68.46,71.06,66.89,66.40,83.28,77.23,75.53,50.47,58.67
-1,54.48,57.75,65.94,76.28,61.17,97.21,79.35,77.02,52.18,57.43
