W,CanParl,USLegis,Trade,UCI-Message,UNVote,AS733,Enron,Colab,Bitcoin-OTC,Bitcoin-Alpha
1,53.03,73.33,90.76,85.22,74.43,98.03,89.29,89.44,87.55,81.70
2,69.65,86.26,90.71,70.23,83.65,95.65,91.65,90.19,85.70,55.74
3,68.96,83.55,90.89,77.36,83.77,93.68,92.11,89.63,88.34,57.21
4,68.61,83.72,90.84,79.93,84.57,93.59,92.37,89.93,89.03,60.71
5,71.44,82.82,90.52,83.43,83.36,92.19,92.35,89.68,89.10,63.09
6,72.06,84.15,90.36,85.20,83.23,91.97,92.10,89.96,88.13,69.76
7,69.22,85.03,90.32,85.70,82.52,91.04,91.86,90.05,89.97,70.43
8,70.72,82.98,90.22,84.84,80.99,91.07,91.37,90.04,90.05,69.04
9,70.07,81.35,91.02,84.79,81.49,90.74,91.26,89.99,90.95,64.96
10,70.27,83.31,90.61,85.85,81.49,91.13,91.26,89.99,90.95,67.01
-1,70.47,84.42,90.15,87.22,80.75,90.86,91.26,89.99,92.65,65.91
